timestamp,dist_real_cm,dist_sensor_cm
1771607382.70495,5,4.45
1771607382.72999,5,4.36
1771607382.75505,5,4.37
1771607382.78011,5,4.39
1771607382.80518,5,4.42
1771607382.83025,5,4.44
1771607382.85535,5,4.42
1771607382.88039,5,4.43
1771607382.90545,5,4.42
1771607382.93051,5,4.42
1771607382.95559,5,4.34
1771607382.98065,5,4.42
1771607383.00571,5,4.32
1771607383.03076,5,4.34
1771607383.05585,5,4.67
1771607383.08089,5,4.42
1771607383.10595,5,4.42
1771607383.13101,5,4.33
1771607383.15607,5,4.34
1771607383.18115,5,4.42
1771607383.20621,5,4.34
1771607383.23126,5,4.42
1771607383.25632,5,4.35
1771607383.28139,5,4.42
1771607383.30645,5,4.41
1771607383.33153,5,4.43
1771607383.35658,5,4.41
1771607383.38164,5,4.43
1771607383.40669,5,4.33
1771607383.43175,5,4.34
1771607383.45682,5,4.42
1771607383.48187,5,4.34
1771607383.50694,5,4.35
1771607383.53199,5,4.41
1771607383.55705,5,4.37
1771607383.58212,5,4.43
1771607383.60718,5,4.43
1771607383.63224,5,4.44
1771607383.65733,5,4.32
1771607383.68241,5,4.41
1771607383.70748,5,4.41
1771607383.73255,5,4.33
1771607383.75762,5,4.33
1771607383.78269,5,4.43
1771607383.80776,5,4.36
1771607383.83284,5,4.37
1771607383.85791,5,4.45
1771607383.88298,5,4.42
1771607383.90804,5,4.37
1771607383.93311,5,4.36
1771607383.95818,5,4.45
1771607383.98325,5,4.36
1771607384.00832,5,4.31
1771607384.03339,5,4.33
1771607384.05847,5,4.4
1771607384.08354,5,4.42
1771607384.10860,5,4.37
1771607384.13367,5,4.37
1771607384.15874,5,4.35
1771607384.18385,5,4.44
1771607384.20886,5,4.43
1771607384.23390,5,4.42
1771607384.25896,5,4.33
1771607384.28402,5,4.41
1771607384.30908,5,4.43
1771607384.33416,5,4.34
1771607384.35923,5,4.43
1771607384.38428,5,4.44
1771607384.40934,5,4.41
1771607384.43440,5,4.43
1771607384.45947,5,4.41
1771607384.48452,5,4.4
1771607384.50959,5,4.38
1771607384.53465,5,4.33
1771607384.55973,5,4.43
1771607384.58478,5,4.45
1771607384.60984,5,4.44
1771607384.63492,5,4.32
1771607384.66040,5,4.42
1771607384.68545,5,4.34
1771607384.71051,5,4.44
1771607384.73557,5,4.38
1771607384.76062,5,4.37
1771607384.78568,5,4.45
1771607384.81074,5,4.41
1771607384.83595,5,6.86
1771607384.86088,5,4.33
1771607384.88592,5,4.34
1771607384.91099,5,4.42
1771607384.93605,5,4.4
1771607384.96111,5,4.34
1771607384.98617,5,4.42
1771607385.01123,5,4.44
1771607385.03631,5,4.41
1771607385.06136,5,4.42
1771607385.08641,5,4.34
1771607385.11148,5,4.44
1771607385.13654,5,4.43
1771607385.16160,5,4.34
1771607385.18669,5,4.41
1771607385.21174,5,4.35
1771607385.23680,5,4.44
1771607385.26188,5,4.36
1771607385.28693,5,4.41
1771607385.31200,5,4.43
1771607385.33706,5,4.43
1771607385.36213,5,4.33
1771607385.38718,5,4.41
1771607385.41225,5,4.34
1771607385.43731,5,4.33
1771607385.46236,5,4.34
1771607385.48742,5,4.32
1771607385.51249,5,4.34
1771607385.53758,5,4.34
1771607385.56264,5,4.34
1771607385.58770,5,4.41
1771607385.61276,5,4.41
1771607385.63782,5,4.35
1771607385.66288,5,4.34
1771607385.68795,5,4.42
1771607385.71303,5,4.43
1771607385.73808,5,4.33
1771607385.76313,5,4.34
1771607385.78820,5,4.42
1771607385.81326,5,4.37
1771607385.83834,5,4.41
1771607385.86341,5,4.33
1771607385.88848,5,4.42
1771607385.91352,5,4.44
1771607385.93858,5,4.41
1771607385.96364,5,4.33
1771607385.98871,5,4.35
1771607386.01376,5,4.35
1771607386.03883,5,4.42
1771607386.06388,5,4.4
1771607386.08894,5,4.32
1771607386.11405,5,4.44
1771607386.13913,5,4.35
1771607386.16418,5,4.34
1771607386.18930,5,4.37
1771607386.21433,5,4.41
1771607386.23940,5,4.38
1771607386.26447,5,4.43
1771607386.28953,5,4.37
1771607386.31459,5,4.44
1771607386.33966,5,4.44
1771607386.36474,5,4.67
1771607386.38979,5,4.37
1771607386.41486,5,4.36
1771607386.43993,5,4.38
1771607386.46499,5,4.38
1771607386.49005,5,4.35
1771607386.51512,5,4.42
1771607386.54019,5,4.38
1771607386.56526,5,4.37
1771607386.59032,5,4.37
1771607386.61538,5,4.37
1771607386.64044,5,4.36
1771607386.66552,5,4.45
1771607386.69061,5,4.37
1771607386.71566,5,4.41
1771607386.74074,5,4.42
1771607386.76581,5,4.32
1771607386.79088,5,4.41
1771607386.81596,5,4.41
1771607386.84103,5,4.39
1771607386.86610,5,4.36
